judge_model_name,criterion,locale,n_prompts,mean,std,se,ci95_low,ci95_high,ci90_low,ci90_high
AyaExpanse-8B,naturalness,ar_EG,46,0.39927536231884064,0.23003506232314663,0.03391681957313841,0.3373188405797101,0.46630434782608693,0.34655797101449276,0.45452898550724624
Llama-3.1-8B,naturalness,ar_EG,46,0.3416666666666667,0.12897985295826553,0.019017041824737665,0.3077898550724638,0.3813405797101448,0.3128623188405797,0.3739130434782609
Claude-4,naturalness,bn_BD,46,0.5293478260869564,0.1311598206415541,0.019338460524316193,0.491304347826087,0.5663043478260869,0.49764492753623185,0.5608695652173913
Qwen3-235B,naturalness,bn_BD,46,0.5235507246376812,0.11072578111894943,0.01632562576495688,0.49166213768115946,0.5554347826086956,0.4969202898550725,0.5496376811594202
GPT-4.1,naturalness,bn_BD,46,0.5186594202898551,0.10337192801664624,0.015241359278277538,0.4900362318840579,0.5483695652173912,0.49420289855072475,0.5432971014492752
Mistral-Medium,naturalness,bn_BD,46,0.5139492753623187,0.11846568430346367,0.017466812230931175,0.48025362318840575,0.5469202898550725,0.48568840579710143,0.5416666666666667
Llama-4-Maverick,naturalness,bn_BD,46,0.5079710144927535,0.11394925936166232,0.01680090170268522,0.47554347826086957,0.5411231884057971,0.4804347826086956,0.5356884057971014
DeepSeek-V3,naturalness,bn_BD,46,0.4844202898550725,0.11102230750780925,0.01636934619578192,0.4530797101449276,0.5166666666666667,0.4579710144927537,0.5114130434782608
CommandA,naturalness,bn_BD,46,0.48333333333333334,0.10125752524999358,0.014929607598262944,0.4552536231884058,0.5134057971014494,0.45978260869565213,0.5083333333333333
Qwen2.5-7B,naturalness,bn_BD,46,0.4393115942028985,0.1015871432074766,0.01497820711469802,0.4114130434782608,0.46811594202898554,0.4152173913043477,0.4635869565217392
AyaExpanse-32B,naturalness,bn_BD,46,0.4340579710144926,0.11450141633385327,0.016882312806769616,0.4014447463768115,0.4670289855072464,0.40652173913043477,0.4619565217391305
Llama-3.1-8B,naturalness,bn_BD,46,0.40090579710144936,0.09357818842210429,0.013797351154386604,0.37481884057971016,0.42826086956521736,0.3786231884057971,0.4235507246376812
CommandR7B,naturalness,bn_BD,46,0.37010869565217397,0.124320077822795,0.01832999546352194,0.33550271739130433,0.4068885869565218,0.34130434782608693,0.4003623188405797
Mistral-7B,naturalness,bn_BD,46,0.33496376811594203,0.09017506233962311,0.013295587587743825,0.30833333333333335,0.360330615942029,0.31286231884057963,0.35652173913043483
AyaExpanse-8B,naturalness,bn_BD,46,0.3204710144927536,0.148892065904528,0.02195293745290747,0.2798913043478261,0.3648596014492753,0.2856884057971014,0.3565217391304348
Claude-4,naturalness,cs_CZ,46,0.5452898550724637,0.12417197569948836,0.018308158996750916,0.5092391304347826,0.5802536231884058,0.5152083333333334,0.5744565217391304
Mistral-Medium,naturalness,cs_CZ,46,0.5268115942028985,0.12219586891996695,0.018016797947607324,0.49329257246376795,0.5628668478260869,0.4981884057971015,0.5567028985507246
CommandA,naturalness,cs_CZ,46,0.509963768115942,0.1265840320759174,0.018663797307247505,0.4740896739130434,0.5452898550724637,0.4800724637681159,0.5391304347826086
GPT-4.1,naturalness,cs_CZ,46,0.5097826086956522,0.13012700761400126,0.019186180551191537,0.4722826086956522,0.546195652173913,0.47844202898550714,0.5407608695652173
Qwen3-235B,naturalness,cs_CZ,46,0.47590579710144926,0.1199952193089576,0.017692329864148593,0.442572463768116,0.5101494565217392,0.4478260869565219,0.5047101449275362
AyaExpanse-32B,naturalness,cs_CZ,46,0.45615942028985507,0.13168465398242607,0.019415842978749664,0.41956521739130437,0.494927536231884,0.4253623188405797,0.4887681159420289
DeepSeek-V3,naturalness,cs_CZ,46,0.4449275362318842,0.10543089511456853,0.015544937414853771,0.415036231884058,0.47536231884057967,0.4197373188405797,0.47065217391304354
Llama-4-Maverick,naturalness,cs_CZ,46,0.4335144927536232,0.1180276323896856,0.01740222499986634,0.4010869565217392,0.4693840579710145,0.40597826086956523,0.4635869565217392
Qwen2.5-7B,naturalness,cs_CZ,46,0.38786231884057976,0.10622167773191357,0.015661531950848413,0.358695652173913,0.41920742753623186,0.3630434782608695,0.41341485507246367
