judge_model_name,criterion,locale,n_prompts,mean,std,se,cv,min,q10,q25,median,q75,q90,max,iqr,range,unstable_count_abs_dev_gt_0.10,unstable_share_abs_dev_gt_0.10
GPT-4.1,instruction_following,de_DE,46,0.5420289855072464,0.2417525806527849,0.03564447339694114,0.44601411938615393,0.25,0.2791666666666667,0.34375,0.475,0.7479166666666667,0.875,1.0,0.4041666666666667,0.75,37,0.8043478260869565
Llama-4-Maverick,instruction_following,de_DE,46,0.5,0.2260776661041756,0.03333333333333333,0.4521553322083512,0.25,0.275,0.32708333333333334,0.425,0.63125,0.875,1.0,0.30416666666666664,0.75,29,0.6304347826086957
Mistral-Medium,instruction_following,de_DE,46,0.5556159420289856,0.22471555647184485,0.03313250122464506,0.404444040340588,0.2,0.29583333333333334,0.3729166666666667,0.5333333333333333,0.675,0.875,1.0,0.30208333333333337,0.8,34,0.7391304347826086
Claude-4,instruction_following,de_DE,46,0.5510869565217392,0.20587519214239292,0.03035464105323972,0.3735802303175571,0.20833333333333334,0.3041666666666667,0.4125,0.5041666666666667,0.6708333333333334,0.875,1.0,0.2583333333333334,0.7916666666666666,29,0.6304347826086957
Qwen2.5-7B,instruction_following,de_DE,46,0.4588768115942029,0.15824463572045505,0.023331898641643003,0.34485210784718195,0.23333333333333334,0.2791666666666667,0.35833333333333334,0.43333333333333335,0.5416666666666666,0.7166666666666667,0.875,0.1833333333333333,0.6416666666666666,23,0.5
Llama-3.1-8B,instruction_following,de_DE,46,0.43061594202898557,0.15363953271150269,0.022652913245708263,0.3567901643111042,0.175,0.27083333333333337,0.33541666666666664,0.4,0.53125,0.6,0.875,0.19583333333333336,0.7,22,0.4782608695652174
AyaExpanse-32B,instruction_following,en_US,46,0.6481884057971015,0.23370943923180343,0.03445857689220116,0.3605578827723742,0.2833333333333333,0.4,0.4770833333333333,0.575,0.875,1.0,1.0,0.3979166666666667,0.7166666666666667,37,0.8043478260869565
DeepSeek-V3,instruction_following,en_US,46,0.7085144927536232,0.2307963209425167,0.03402906103311811,0.32574678895492,0.23333333333333334,0.4083333333333333,0.5354166666666667,0.675,0.875,1.0,1.0,0.33958333333333335,0.7666666666666666,38,0.8260869565217391
Mistral-7B,instruction_following,en_US,46,0.6235507246376811,0.2296085258600198,0.03385393020264361,0.36822750225081624,0.23333333333333334,0.35416666666666663,0.42083333333333334,0.625,0.8479166666666667,0.9375,1.0,0.4270833333333333,0.7666666666666666,33,0.717391304347826
CommandR7B,instruction_following,en_US,46,0.7143115942028986,0.22558335244344666,0.03326045076024137,0.3158052512015789,0.2916666666666667,0.37083333333333335,0.5583333333333333,0.7166666666666667,0.875,1.0,1.0,0.31666666666666665,0.7083333333333333,37,0.8043478260869565
Mistral-Medium,instruction_following,en_US,46,0.6822463768115943,0.22446513034248147,0.03309557790625942,0.3290089005550976,0.3,0.3833333333333333,0.5,0.6666666666666667,0.875,1.0,1.0,0.375,0.7,35,0.7608695652173914
AyaExpanse-8B,instruction_following,en_US,46,0.663768115942029,0.22214038348117068,0.0327528126814628,0.3346656432358248,0.275,0.3875,0.5,0.6166666666666667,0.875,1.0,1.0,0.375,0.725,36,0.782608695652174
